method,runs,restricted_mean,ci_low,ci_high,cap,certified,censored,wrong_certificates,coverage_failures,mean_final_regret,mean_confidence_size,mean_diagnostic_fraction
task_task,200,544.575,513.175625,578.36675,50000,200,0,1,4,0.0019199999999999452,1.0,0.9562945545669137
full_full,200,544.575,511.363875,577.80225,50000,200,0,1,4,0.0019199999999999452,1.0,0.9562945545669137
entropy_task,200,501.485,472.32962499999996,532.487375,50000,200,0,0,3,-5.551115123125783e-17,1.0,0.9544270522750311
uniform_task,200,1786.635,1653.4691249999998,1921.0405,50000,200,0,0,4,-5.551115123125783e-17,1.0,0.4997396865731082
