gamma,target,D_star,inverse_rate,cycle_D_star,cycle_iterations,w_action_0,w_action_1,w_action_2,w_action_3
0.001,task,0.16049061537496748,6.230893922760639,0.16049061537496784,2,0.0,0.6116831425002304,0.19294871514833625,0.19536814235143335
0.001,full,7.999949998869429e-06,125000.78127254824,7.99994999889346e-06,1,7.583464836173773e-06,0.0,0.9999563416036875,3.607493147631537e-05
0.001367524132707937,task,0.1602050073147702,6.242002149378538,0.16020500731477016,2,0.0,0.6114762016291854,0.19260494189569552,0.19591885647511917
0.001367524132707937,full,1.4960803157605165e-05,66841.33127516357,1.4960803157514644e-05,1,1.4181929222392393e-05,0.0,0.9999181990800855,6.76189906920813e-05
0.0018701222535385971,task,0.1598146549023609,6.257248439518591,0.15981465490236194,2,0.0,0.6111883818871955,0.19213489267100078,0.1966767254418038
0.0018701222535385971,full,2.7978246366361887e-05,35742.054269787805,2.7978246366452398e-05,1,2.6521671701255566e-05,0.0,0.9998466262277568,0.00012685210054201403
0.0025574373128281827,task,0.15928125847892916,6.278202530226034,0.1592812584789291,2,0.0,0.6107856193115867,0.19149222323782658,0.19772215745058683
0.0025574373128281827,full,5.2321746004162045e-05,19112.512031239417,5.232174600416203e-05,1,4.959782511698959e-05,0.0,0.9997121550864406,0.0002382470884423176
0.0034973572431802815,task,0.15855261640376844,6.307054545561143,0.15855261640376844,2,0.0,0.6102173246945477,0.1906136217391636,0.19916905356628872
0.0034973572431802815,full,9.784458138093431e-05,10220.290034322297,9.784458138093431e-05,1,9.275069749374575e-05,0.0,0.9994590780896985,0.0004481712128078739
0.004782720430749936,task,0.15755767246045457,6.346882283698308,0.15755767246045457,2,0.0,0.609406442628891,0.189412642485682,0.20118091488542705
0.004782720430749936,full,0.00018296915893451947,5465.401960763657,0.00018296915893442696,1,0.000173443606907061,0.0,0.9989816636708062,0.0008448927222867881
0.006540485609045837,task,0.15619988852417194,6.402053224546636,0.156199888524172,2,0.0,0.6082318349989706,0.18777135589938265,0.20399680910164672
0.006540485609045837,full,0.00034213214108731895,2922.8472859110307,0.0003421321410873227,1,0.000324320409704986,0.0,0.0014728274406040106,0.9982028521496911
0.008944271909999161,task,0.15434847017114142,6.478846203601507,0.15434847017114173,2,0.0,0.6064954714098483,0.1855291202414073,0.2079754083487444
0.008944271909999161,full,0.0006396801565900418,1563.2812581380103,0.0006396801565900414,1,0.0006063777866823792,0.0,0.9963605851315412,0.003033037081776392
0.012231507686425565,task,0.15182695685573416,6.5864456530614595,0.15182695685573436,2,0.0,0.6038576772217563,0.1824676847921595,0.21367463798608421
0.012231507686425565,full,0.0011957601395137863,836.2881207987203,0.0011957601395138416,1,0.0011335077058926297,0.0,0.9930755029531496,0.005790989340957769
0.016726881940589595,task,0.14839887663037032,6.738595484727185,0.14839887663037035,2,0.0,0.5997000378319537,0.17829196797234897,0.22200799419569733
0.016726881940589595,full,0.002234401522529793,447.54713506809577,0.0022344015225297617,1,0.002118076410270261,0.0,0.9867386017169846,0.011143321872745096
0.022874414718712852,task,0.14375100750463132,6.95647298310436,0.1437510075046313,2,0.0,0.5928079107806783,0.1726068182013298,0.234585271017992
0.022874414718712852,full,0.004172267697174816,239.67781374074679,0.004172267697174804,1,0.003955055390721865,0.0,0.9743685433286444,0.021676401280633712
0.03128131414940946,task,0.13747785105582042,7.273898975871887,0.1374778510558203,2,0.0,0.5805402036235743,0.16489395493080927,0.2545658414456165
0.03128131414940946,full,0.007780590001295331,128.5249575974981,0.007780590001295443,1,0.007375524932989575,0.0,0.02898155290088432,0.963642922166126
0.042777952002135716,task,0.1290829934213975,7.7469539053487315,0.12908299342139753,2,0.0,0.5562367919624391,0.1545088082197046,0.2892543998178562
0.042777952002135716,full,0.014474146072116008,69.08870444015132,0.014474146072115982,1,0.013720607977139478,0.0,0.8998692117445408,0.08641018027831976
0.058499881710742434,task,0.11807601846699148,8.469120258145841,0.11807601846699144,2,0.0,0.4984060115922753,0.1407951806696546,0.3607988077380701
0.058499881710742434,full,0.026804991266597814,37.306484827925246,0.026804991266597505,1,0.025409497400897055,0.0,0.7945772673395336,0.18001323525956933
0.08,task,0.10486974877122711,9.53563836775747,0.10486974877122712,2,0.0,0.28944552021721714,0.12416031356950516,0.5863941662132778
0.08,full,0.04923351038366778,20.31136906970846,0.0492335103836679,1,0.04667036604073575,0.0,0.5597612384010718,0.39356839555819245
