source_n_per_effect_context,robust,runs,restricted_mean,ci_low,ci_high,cap,certified,censored,wrong_certificates,coverage_failures,mean_final_regret,mean_confidence_size,mean_diagnostic_fraction
256,False,480,63.0375,60.345677083333335,65.75005208333332,3000,480,0,1,5,0.0007999999999999447,2.0,1.0
256,True,480,3000.0,3000.0,3000.0,3000,0,480,0,0,-5.551115123125783e-17,21.483333333333334,1.0
1024,False,480,62.85625000000001,60.73739583333333,64.9709375,3000,480,0,0,3,-5.551115123125783e-17,2.0,1.0
1024,True,480,3000.0,3000.0,3000.0,3000,0,480,0,0,-5.551115123125783e-17,15.485416666666667,1.0
4096,False,480,60.9875,58.68119791666667,63.35218749999999,3000,480,0,0,3,-5.551115123125783e-17,2.0,1.0
4096,True,480,2077.2020833333336,1550.1736979166665,2567.852083333333,3000,173,307,0,0,-5.551115123125783e-17,6.116666666666666,1.0
16384,False,480,60.85000000000001,58.77270833333334,63.187499999999986,3000,480,0,0,3,-5.551115123125783e-17,2.0,1.0
16384,True,480,342.3833333333334,182.02578125,559.3200520833333,3000,461,19,0,1,-5.551115123125783e-17,2.1020833333333333,1.0
65536,False,480,61.21666666666666,58.94994791666667,63.70645833333333,3000,480,0,0,3,-5.551115123125783e-17,2.0,1.0
65536,True,480,90.57083333333335,83.56661458333335,98.50651041666667,3000,480,0,0,1,-5.551115123125783e-17,2.0,1.0
