alpha,robust,runs,restricted_mean,ci_low,ci_high,cap,certified,censored,wrong_certificates,coverage_failures,mean_final_regret,mean_confidence_size,mean_diagnostic_fraction
0,False,200,61.29,57.965,64.675,3000,200,0,0,0,-5.551115123125783e-17,2.0,1.0
0,True,200,61.29,58.109875,64.63012499999999,3000,200,0,0,0,-5.551115123125783e-17,2.0,1.0
0.1,False,200,68.955,65.065,72.96012499999999,3000,200,0,0,0,-5.551115123125783e-17,2.0,1.0
0.1,True,200,3000.0,3000.0,3000.0,3000,0,200,0,0,-5.551115123125783e-17,24.0,1.0
0.3,False,200,111.38,103.46362500000001,119.470875,3000,200,0,1,2,0.0019199999999999452,2.0,1.0
0.3,True,200,3000.0,3000.0,3000.0,3000,0,200,0,0,-5.551115123125783e-17,24.0,1.0
0.5,False,200,3000.0,3000.0,3000.0,3000,0,200,0,49,0.21852000000000005,4.3,1.0
0.5,True,200,3000.0,3000.0,3000.0,3000,0,200,0,0,0.21852000000000005,24.0,1.0
0.7,False,200,111.34,103.485,119.785625,3000,200,0,200,200,0.40800000000000014,2.0,1.0
0.7,True,200,3000.0,3000.0,3000.0,3000,0,200,0,0,0.40800000000000014,24.0,1.0
1.0,False,200,60.995,57.749875,64.37,3000,200,0,200,200,0.40800000000000014,2.0,1.0
1.0,True,200,3000.0,3000.0,3000.0,3000,0,200,0,0,0.40800000000000014,24.0,1.0
